,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Age_Group
9143,771062733,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,31,1,2,1,4291.0,1285,3006.0,0.846,15511,101,0.629,0.299,40
9145,713552958,Existing Customer,43,M,5,Graduate,Unknown,$60K - $80K,Blue,28,1,3,1,12773.0,1637,11136.0,0.919,14833,114,0.583,0.128,40
9146,715209333,Existing Customer,32,M,0,High School,Single,$60K - $80K,Blue,36,1,1,1,6224.0,1965,4259.0,0.739,13630,124,0.699,0.316,30
9147,769935783,Existing Customer,40,M,3,Unknown,Single,$60K - $80K,Blue,34,2,2,1,9594.0,2517,7077.0,0.945,14213,100,0.786,0.262,40
9148,815613033,Existing Customer,49,M,2,Unknown,Married,Less than $40K,Silver,44,2,2,3,12518.0,1722,10796.0,0.891,14276,96,0.778,0.138,40
9150,816328308,Existing Customer,60,F,0,Graduate,Married,Less than $40K,Blue,55,2,1,3,3773.0,0,3773.0,0.684,14264,118,0.873,0.0,60
9151,711814608,Existing Customer,41,F,5,High School,Married,$40K - $60K,Silver,36,2,1,1,19281.0,1805,17476.0,0.893,15423,110,0.692,0.094,40
9153,710694033,Existing Customer,32,M,0,Graduate,Divorced,$40K - $60K,Blue,36,2,1,1,7473.0,1253,6220.0,0.98,13400,104,0.733,0.168,30
9154,709257708,Existing Customer,47,F,2,High School,Single,Less than $40K,Blue,41,1,1,2,3108.0,1978,1130.0,0.917,14965,127,0.716,0.636,40
9155,720174033,Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,33,1,3,1,34516.0,975,33541.0,0.738,12871,104,0.552,0.028,40
9159,803335008,Existing Customer,48,F,2,Graduate,Divorced,Unknown,Blue,43,2,3,3,7791.0,1472,6319.0,0.979,13945,107,0.754,0.189,40
9160,795869583,Existing Customer,53,F,3,Uneducated,Married,Less than $40K,Blue,47,1,3,2,3733.0,1620,2113.0,0.765,15200,118,0.934,0.434,50
9161,789535233,Existing Customer,52,M,1,Graduate,Single,$80K - $120K,Silver,44,2,1,2,34516.0,1618,32898.0,1.0,11603,109,0.847,0.047,50
9162,716441058,Existing Customer,45,F,4,High School,Single,Less than $40K,Silver,36,2,5,2,14416.0,0,14416.0,0.788,13820,99,0.65,0.0,40
9164,708908883,Existing Customer,37,F,2,Graduate,Divorced,Less than $40K,Silver,32,1,3,2,12033.0,1025,11008.0,0.684,12603,106,0.893,0.085,30
9165,712152408,Existing Customer,44,M,4,High School,Single,$60K - $80K,Gold,29,1,2,1,34516.0,1930,32586.0,0.615,12478,97,0.764,0.056,40
9167,715351983,Existing Customer,32,F,2,Unknown,Married,Less than $40K,Blue,20,1,3,2,9761.0,1470,8291.0,0.796,14334,97,0.732,0.151,30
9168,798451908,Existing Customer,36,F,2,Graduate,Married,Less than $40K,Blue,30,1,3,2,5723.0,0,5723.0,0.85,12403,120,0.69,0.0,30
9169,794962983,Existing Customer,47,F,3,Graduate,Divorced,Less than $40K,Blue,41,1,1,3,9947.0,2496,7451.0,0.802,14576,110,0.774,0.251,40
9170,721000833,Existing Customer,49,M,0,Uneducated,Married,$60K - $80K,Blue,38,1,3,2,3599.0,0,3599.0,0.738,13324,110,0.594,0.0,40
9171,720086358,Existing Customer,58,M,2,Doctorate,Married,$120K +,Blue,48,2,3,1,12648.0,1604,11044.0,0.719,14465,125,0.712,0.127,50
9173,780588258,Existing Customer,53,F,5,Unknown,Married,Less than $40K,Blue,42,1,2,2,4021.0,1745,2276.0,0.784,14567,120,0.846,0.434,50
9174,710833908,Existing Customer,45,M,5,High School,Married,$80K - $120K,Blue,25,1,3,3,25601.0,1384,24217.0,0.745,12896,100,0.852,0.054,40
9175,714449283,Existing Customer,44,M,4,Uneducated,Unknown,$80K - $120K,Blue,36,1,3,1,25428.0,1528,23900.0,0.725,13360,97,0.796,0.06,40
9176,772339383,Existing Customer,54,M,3,Post-Graduate,Single,$40K - $60K,Blue,44,2,5,3,4216.0,1290,2926.0,0.86,13787,121,0.571,0.306,50
9177,721382208,Existing Customer,38,F,2,High School,Married,$40K - $60K,Blue,27,2,1,2,3140.0,2517,623.0,0.801,13677,122,0.821,0.802,30
9178,779349783,Existing Customer,46,M,3,Doctorate,Married,$60K - $80K,Blue,31,2,2,2,21161.0,1198,19963.0,0.783,13119,104,0.625,0.057,40
9179,789450408,Existing Customer,41,F,2,Uneducated,Married,Unknown,Blue,32,2,5,3,5877.0,1713,4164.0,0.791,15106,91,0.978,0.291,40
9180,709210833,Existing Customer,48,F,2,Doctorate,Married,$40K - $60K,Blue,36,1,2,2,9074.0,1648,7426.0,0.727,14084,110,0.803,0.182,40
9181,821752908,Existing Customer,53,M,2,High School,Single,$60K - $80K,Blue,49,2,3,2,4142.0,2252,1890.0,0.714,15078,117,0.746,0.544,50
9182,789878283,Existing Customer,39,M,3,Graduate,Married,$40K - $60K,Blue,29,2,2,2,3152.0,1174,1978.0,0.862,13670,117,0.857,0.372,30
9184,719222133,Existing Customer,41,M,3,Graduate,Single,$40K - $60K,Blue,36,2,3,2,8919.0,1723,7196.0,0.848,13719,96,0.714,0.193,40
9185,715551783,Existing Customer,54,F,2,Uneducated,Married,Unknown,Blue,42,1,1,3,24927.0,1273,23654.0,0.743,14603,113,0.687,0.051,50
9186,712718958,Existing Customer,49,M,2,High School,Divorced,$40K - $60K,Blue,36,2,1,1,3308.0,2150,1158.0,0.879,15019,101,0.656,0.65,40
9188,783361533,Existing Customer,41,M,3,Unknown,Married,$60K - $80K,Silver,35,2,3,2,33889.0,1203,32686.0,0.944,14954,112,0.623,0.035,40
9189,717942033,Existing Customer,52,M,2,Uneducated,Unknown,$120K +,Blue,42,1,1,3,33552.0,1252,32300.0,0.793,14490,98,0.815,0.037,50
9190,817908783,Existing Customer,44,M,3,Unknown,Single,$120K +,Silver,39,2,3,1,34516.0,2123,32393.0,0.801,14242,107,0.551,0.062,40
9191,713708358,Existing Customer,33,F,3,Unknown,Single,$40K - $60K,Silver,36,2,3,3,19594.0,971,18623.0,0.761,12429,111,0.542,0.05,30
9192,713705358,Existing Customer,37,M,2,Graduate,Single,$60K - $80K,Blue,28,2,6,1,7349.0,994,6355.0,0.864,13970,109,0.847,0.135,30
9193,789551883,Existing Customer,52,F,3,Graduate,Single,$40K - $60K,Blue,45,1,1,2,14803.0,985,13818.0,0.831,14426,87,0.642,0.067,50
9196,780551733,Existing Customer,54,F,1,High School,Married,Less than $40K,Silver,44,2,2,3,11605.0,1470,10135.0,0.93,12592,117,0.8,0.127,50
9197,719722308,Existing Customer,31,F,0,Uneducated,Divorced,Less than $40K,Blue,22,2,1,3,3329.0,0,3329.0,0.641,13109,114,0.727,0.0,30
9198,718328283,Existing Customer,40,F,4,High School,Single,Less than $40K,Blue,36,2,1,3,3961.0,1531,2430.0,0.646,12631,100,0.852,0.387,40
9199,826061508,Existing Customer,49,F,4,Uneducated,Unknown,Less than $40K,Blue,45,1,3,1,5975.0,2045,3930.0,0.847,13090,102,0.672,0.342,40
9202,712464933,Existing Customer,44,M,2,Graduate,Married,$80K - $120K,Blue,36,2,2,2,19141.0,1933,17208.0,1.05,15203,114,0.781,0.101,40
9203,768181608,Existing Customer,43,F,3,Graduate,Unknown,Less than $40K,Blue,37,2,3,3,3461.0,1767,1694.0,0.829,13179,122,0.694,0.511,40
9204,713869083,Existing Customer,56,M,2,High School,Married,$80K - $120K,Blue,43,2,2,1,29394.0,1002,28392.0,0.935,14901,92,0.673,0.034,50
9205,711465333,Existing Customer,35,M,4,High School,Single,$80K - $120K,Blue,26,2,1,1,24250.0,0,24250.0,0.753,12593,99,0.768,0.0,30
9206,719924433,Existing Customer,40,F,4,Graduate,Married,$40K - $60K,Silver,32,1,2,3,16191.0,0,16191.0,0.967,13452,107,0.621,0.0,40
9207,719248158,Existing Customer,52,M,2,High School,Divorced,$60K - $80K,Blue,42,1,3,2,7261.0,1443,5818.0,0.972,14533,108,0.565,0.199,50
9208,719944458,Existing Customer,29,M,0,High School,Single,$40K - $60K,Blue,36,2,3,1,4023.0,1437,2586.0,0.69,12510,96,0.92,0.357,20
9210,721264533,Existing Customer,49,F,3,Unknown,Married,Less than $40K,Blue,36,1,1,3,3767.0,1106,2661.0,0.944,15578,126,0.826,0.294,40
9213,719413383,Existing Customer,32,M,1,Uneducated,Single,$60K - $80K,Silver,36,2,3,1,33711.0,1437,32274.0,0.942,14880,134,0.654,0.043,30
9214,712990458,Existing Customer,44,F,3,Graduate,Married,Unknown,Silver,34,2,2,1,31699.0,1976,29723.0,0.811,13653,113,0.687,0.062,40
9215,789594108,Existing Customer,47,M,5,College,Single,$80K - $120K,Blue,41,1,1,3,3429.0,1779,1650.0,0.938,14107,99,0.65,0.519,40
9216,718764708,Existing Customer,45,M,3,Graduate,Unknown,$120K +,Blue,36,1,4,3,8858.0,1359,7499.0,0.741,14223,103,0.776,0.153,40
9217,820271208,Existing Customer,46,M,2,Graduate,Divorced,$60K - $80K,Blue,41,2,2,3,7064.0,1234,5830.0,0.955,13791,103,0.585,0.175,40
9219,712055433,Existing Customer,39,F,4,High School,Married,Less than $40K,Blue,36,2,2,1,3600.0,2072,1528.0,0.94,14137,116,0.966,0.576,30
9220,721114458,Existing Customer,46,M,4,College,Single,$120K +,Blue,36,1,2,2,34516.0,585,33931.0,0.802,14319,96,0.655,0.017,40
9222,708396033,Existing Customer,45,F,2,Uneducated,Married,Less than $40K,Blue,27,1,2,2,2490.0,1059,1431.0,0.715,12257,101,0.772,0.425,40
9225,716406483,Existing Customer,30,M,0,Unknown,Single,$60K - $80K,Blue,20,1,3,3,23760.0,1349,22411.0,0.961,13124,103,0.746,0.057,30
9229,715754133,Existing Customer,42,F,3,Graduate,Single,Less than $40K,Blue,32,2,2,3,3391.0,1359,2032.0,0.662,13212,107,0.646,0.401,40
9233,711108408,Existing Customer,55,M,2,Uneducated,Single,$60K - $80K,Blue,36,2,1,1,17540.0,1337,16203.0,0.734,14244,96,0.6,0.076,50
9234,717565233,Existing Customer,51,M,3,Doctorate,Single,$80K - $120K,Blue,38,2,3,2,31346.0,1318,30028.0,0.862,13303,92,0.804,0.042,50
9235,789539058,Existing Customer,28,M,0,Uneducated,Single,Less than $40K,Blue,20,1,1,3,4342.0,893,3449.0,0.878,17064,116,0.758,0.206,20
9236,768643158,Existing Customer,44,F,5,Graduate,Divorced,Less than $40K,Blue,38,2,1,3,3842.0,2459,1383.0,0.691,13598,119,0.725,0.64,40
9237,721530633,Existing Customer,51,F,2,Graduate,Single,$40K - $60K,Blue,36,1,1,1,3785.0,1329,2456.0,0.864,15209,104,0.891,0.351,50
9238,721188033,Existing Customer,48,M,5,College,Married,Less than $40K,Blue,39,2,3,1,6797.0,2239,4558.0,0.922,16171,112,0.778,0.329,40
9239,810261633,Existing Customer,44,M,4,Graduate,Single,$60K - $80K,Blue,39,2,2,3,9682.0,1727,7955.0,0.88,14991,95,0.9,0.178,40
9241,719365233,Existing Customer,34,M,4,Unknown,Single,Less than $40K,Blue,23,1,3,2,7664.0,1785,5879.0,0.947,15077,126,0.8,0.233,30
9242,720943308,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Silver,36,1,1,2,30498.0,1990,28508.0,0.839,16202,120,0.791,0.065,40
9243,714425283,Existing Customer,50,F,2,High School,Married,Unknown,Blue,40,2,3,2,19962.0,0,19962.0,0.984,14703,119,0.859,0.0,50
9246,709406733,Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,36,2,2,1,20434.0,1504,18930.0,0.725,13280,106,0.656,0.074,40
9247,708572658,Existing Customer,49,M,5,Graduate,Married,$60K - $80K,Silver,38,1,1,2,29531.0,2088,27443.0,0.843,15039,120,0.69,0.071,40
9248,714001008,Existing Customer,56,M,1,Uneducated,Divorced,$120K +,Blue,36,1,1,2,3730.0,0,3730.0,0.732,13997,102,0.619,0.0,50
9249,712833633,Existing Customer,41,M,2,Post-Graduate,Married,$40K - $60K,Blue,36,2,1,3,10688.0,653,10035.0,0.682,13866,98,0.508,0.061,40
9251,708863733,Existing Customer,35,M,3,Unknown,Single,$40K - $60K,Gold,19,1,1,3,22725.0,808,21917.0,0.779,13847,120,0.875,0.036,30
9252,717076458,Existing Customer,40,M,3,Unknown,Single,$40K - $60K,Blue,36,1,3,1,8155.0,1178,6977.0,0.829,14955,102,0.925,0.144,40
9253,712412958,Existing Customer,41,F,3,Doctorate,Married,$40K - $60K,Silver,33,1,1,2,18266.0,822,17444.0,0.875,14615,124,0.797,0.045,40
9254,720535008,Existing Customer,46,M,4,Uneducated,Single,$80K - $120K,Blue,36,1,2,3,10492.0,1094,9398.0,0.915,13764,104,0.733,0.104,40
9255,711578658,Existing Customer,56,F,2,High School,Married,$40K - $60K,Blue,49,1,3,3,6380.0,2517,3863.0,0.706,13945,97,1.064,0.395,50
9256,709373883,Existing Customer,37,F,5,Unknown,Married,$40K - $60K,Silver,36,1,1,2,19055.0,2517,16538.0,0.915,15091,124,0.676,0.132,30
9257,780730008,Existing Customer,51,M,2,College,Single,$120K +,Blue,36,2,2,2,3477.0,752,2725.0,0.703,13627,120,0.739,0.216,50
9258,824816358,Existing Customer,36,F,1,Uneducated,Single,Less than $40K,Blue,32,2,3,2,3277.0,0,3277.0,0.84,14252,127,0.649,0.0,30
9259,716106108,Existing Customer,49,M,4,Post-Graduate,Married,$120K +,Silver,41,2,3,2,34516.0,0,34516.0,0.663,13376,129,0.72,0.0,40
9260,709807383,Existing Customer,35,F,2,Unknown,Married,Less than $40K,Blue,22,1,1,1,3616.0,1155,2461.0,0.727,15391,94,0.593,0.319,30
9261,716430933,Existing Customer,46,F,4,Unknown,Single,Less than $40K,Blue,36,2,1,2,3973.0,0,3973.0,0.89,13740,131,0.819,0.0,40
9262,789866133,Existing Customer,45,F,3,Graduate,Unknown,$40K - $60K,Blue,35,2,3,2,4318.0,2359,1959.0,0.993,12867,118,0.573,0.546,40
9263,718634058,Existing Customer,48,F,2,High School,Unknown,Unknown,Blue,31,2,2,1,7660.0,764,6896.0,0.877,14844,100,0.695,0.1,40
9264,715129983,Existing Customer,46,F,3,Graduate,Divorced,Unknown,Blue,36,1,3,2,3515.0,0,3515.0,0.876,15079,116,0.841,0.0,40
9265,717177783,Existing Customer,36,F,0,Unknown,Married,Less than $40K,Silver,19,1,2,3,13313.0,0,13313.0,1.08,15549,121,0.833,0.0,30
9267,806992533,Existing Customer,49,F,1,Graduate,Married,Less than $40K,Blue,44,2,1,1,8284.0,797,7487.0,0.824,13092,102,0.569,0.096,40
9269,711010683,Existing Customer,35,M,3,High School,Married,$40K - $60K,Blue,27,1,2,3,14382.0,1950,12432.0,0.578,12941,131,0.819,0.136,30
9270,714759708,Existing Customer,54,F,1,High School,Single,Unknown,Blue,36,2,2,3,10798.0,1378,9420.0,0.631,13681,105,0.81,0.128,50
9271,718801158,Existing Customer,49,M,3,Graduate,Single,$40K - $60K,Gold,36,2,2,2,23981.0,1408,22573.0,0.844,14455,96,0.846,0.059,40
9272,712256358,Existing Customer,40,M,3,Graduate,Married,$60K - $80K,Blue,23,1,3,1,22729.0,1581,21148.0,1.025,13672,110,0.746,0.07,40
9273,779803008,Existing Customer,41,F,2,High School,Single,Unknown,Blue,30,2,2,1,27670.0,0,27670.0,0.645,13854,124,0.797,0.0,40
9274,710968008,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,26,2,1,2,3423.0,647,2776.0,0.73,14308,124,0.722,0.189,30
9275,771584658,Existing Customer,46,F,4,Unknown,Single,Unknown,Silver,34,1,2,3,33874.0,1473,32401.0,0.803,13753,98,0.849,0.043,40
9276,718102758,Existing Customer,61,F,0,High School,Married,Less than $40K,Blue,36,2,1,3,3175.0,1116,2059.0,0.978,14071,101,0.683,0.351,60
9278,770970558,Existing Customer,41,M,2,Unknown,Single,$80K - $120K,Blue,28,1,2,3,13679.0,2267,11412.0,1.232,15180,103,0.689,0.166,40
9279,758863383,Existing Customer,47,F,2,Uneducated,Unknown,Less than $40K,Silver,36,1,3,2,14767.0,948,13819.0,0.999,13090,104,0.625,0.064,40
9282,814590483,Existing Customer,45,F,2,Graduate,Married,$40K - $60K,Blue,40,1,3,3,3592.0,865,2727.0,0.663,12777,95,0.727,0.241,40
9283,773283108,Existing Customer,31,M,0,High School,Married,$60K - $80K,Silver,24,1,1,3,32535.0,1722,30813.0,0.856,15738,116,0.657,0.053,30
9284,721006458,Existing Customer,42,M,2,Unknown,Single,$120K +,Blue,35,2,1,3,3214.0,1471,1743.0,0.933,14557,114,0.652,0.458,40
9286,788687133,Existing Customer,42,M,2,Graduate,Married,$80K - $120K,Blue,31,2,3,1,16433.0,0,16433.0,0.791,13678,125,0.736,0.0,40
9287,820108008,Existing Customer,49,M,4,Unknown,Married,$80K - $120K,Blue,44,2,3,3,12174.0,1361,10813.0,1.048,14743,121,0.729,0.112,40
9288,717781608,Existing Customer,52,F,3,Graduate,Married,Less than $40K,Blue,40,2,2,1,9230.0,1518,7712.0,0.774,14082,99,0.833,0.164,50
9289,720136458,Existing Customer,39,M,3,Post-Graduate,Married,$60K - $80K,Blue,36,2,2,3,6867.0,776,6091.0,0.715,14119,97,0.764,0.113,30
9290,716247708,Existing Customer,51,M,4,College,Single,$120K +,Gold,33,2,2,2,34516.0,1848,32668.0,0.775,14149,103,0.689,0.054,50
9291,714968208,Existing Customer,52,M,2,High School,Married,$80K - $120K,Blue,36,2,3,1,18046.0,0,18046.0,0.819,13758,104,0.677,0.0,50
9292,719913783,Existing Customer,40,M,3,Graduate,Single,$40K - $60K,Blue,27,2,2,3,7680.0,1589,6091.0,0.688,13617,105,0.721,0.207,40
9293,720621408,Existing Customer,38,F,2,Uneducated,Married,Less than $40K,Blue,36,2,3,2,7825.0,0,7825.0,0.724,14326,100,0.786,0.0,30
9294,721169883,Existing Customer,41,M,5,College,Married,$60K - $80K,Blue,31,1,3,2,5002.0,1945,3057.0,1.035,16161,109,0.787,0.389,40
9295,719324658,Existing Customer,27,M,0,College,Unknown,$80K - $120K,Silver,19,1,1,3,34516.0,1131,33385.0,0.715,14716,112,0.75,0.033,20
9296,714577233,Existing Customer,50,F,3,Graduate,Married,$40K - $60K,Blue,41,2,3,1,4755.0,0,4755.0,0.776,15999,109,0.73,0.0,50
9297,712367658,Existing Customer,58,M,1,Uneducated,Single,$80K - $120K,Blue,40,1,3,0,22104.0,1783,20321.0,0.805,13830,112,0.806,0.081,50
9298,803655333,Existing Customer,53,M,2,Post-Graduate,Single,$60K - $80K,Silver,47,1,3,3,29038.0,2295,26743.0,0.657,12025,103,0.807,0.079,50
9300,711328458,Existing Customer,58,M,1,High School,Married,$80K - $120K,Blue,50,1,1,3,34516.0,1341,33175.0,0.812,13988,127,0.789,0.039,50
9301,708123033,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463.0,0,11463.0,0.908,14511,105,0.721,0.0,40
9303,710745633,Existing Customer,53,M,1,Unknown,Married,$120K +,Blue,36,2,3,3,19252.0,751,18501.0,0.814,14074,112,0.623,0.039,50
9304,710374008,Existing Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,47,1,1,2,34516.0,1583,32933.0,0.631,12906,100,0.639,0.046,50
9305,772166058,Existing Customer,31,M,1,Unknown,Single,$40K - $60K,Blue,20,1,2,3,3232.0,1564,1668.0,0.969,13142,112,0.75,0.484,30
9306,715017858,Existing Customer,44,M,2,Uneducated,Married,$120K +,Platinum,36,2,1,3,34516.0,1421,33095.0,0.744,14465,114,0.754,0.041,40
9308,743420208,Existing Customer,47,F,2,College,Single,Less than $40K,Blue,40,2,2,2,4822.0,1882,2940.0,0.833,13816,121,0.891,0.39,40
9309,716201883,Existing Customer,46,M,2,Graduate,Unknown,$120K +,Silver,39,2,2,3,34516.0,1381,33135.0,0.949,14696,114,0.966,0.04,40
9310,714593883,Existing Customer,53,F,2,Graduate,Married,Less than $40K,Silver,45,1,2,1,12100.0,1350,10750.0,0.854,13138,115,0.667,0.112,50
9311,711003483,Existing Customer,40,M,3,Unknown,Divorced,$60K - $80K,Blue,24,2,3,3,20466.0,1138,19328.0,0.868,15121,97,0.54,0.056,40
9312,819628158,Existing Customer,42,M,3,Graduate,Single,$60K - $80K,Blue,37,2,3,1,17887.0,1821,16066.0,0.687,14544,116,1.148,0.102,40
9314,708573933,Existing Customer,45,F,2,Unknown,Single,Less than $40K,Silver,36,2,2,3,13026.0,789,12237.0,0.74,14747,100,0.724,0.061,40
9315,710758683,Existing Customer,61,F,1,Graduate,Unknown,$40K - $60K,Silver,48,2,3,3,15698.0,2000,13698.0,0.749,12980,82,0.64,0.127,60
9316,718288833,Existing Customer,31,M,1,Unknown,Married,$40K - $60K,Blue,36,1,3,3,5590.0,875,4715.0,0.86,14643,127,0.764,0.157,30
9317,708873183,Existing Customer,47,M,2,Post-Graduate,Single,$60K - $80K,Blue,39,1,3,2,17575.0,618,16957.0,0.917,15473,128,0.684,0.035,40
9318,766224933,Existing Customer,46,M,2,Graduate,Married,$80K - $120K,Blue,39,1,1,1,29528.0,1769,27759.0,0.771,14428,119,0.7,0.06,40
9319,771626283,Existing Customer,54,M,2,Post-Graduate,Married,$60K - $80K,Platinum,42,1,3,1,34516.0,1996,32520.0,0.988,15033,114,0.81,0.058,50
9320,720372483,Existing Customer,60,F,0,High School,Married,Less than $40K,Blue,36,1,1,3,4147.0,2262,1885.0,0.565,14624,111,0.79,0.545,60
9323,714128283,Existing Customer,49,F,1,Unknown,Married,Less than $40K,Silver,40,2,3,2,13411.0,1736,11675.0,0.841,12493,113,0.738,0.129,40
9324,708163758,Existing Customer,41,M,3,Unknown,Married,$120K +,Blue,33,2,4,3,34516.0,638,33878.0,0.724,13085,139,0.675,0.018,40
9325,716979183,Existing Customer,45,M,2,College,Married,$60K - $80K,Blue,34,1,1,2,17646.0,1396,16250.0,0.851,15527,106,0.893,0.079,40
9326,716480358,Existing Customer,45,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,2,1,11121.0,1296,9825.0,0.789,13814,81,1.025,0.117,40
9328,720413658,Existing Customer,44,M,2,High School,Married,$120K +,Blue,31,2,1,3,6176.0,905,5271.0,0.805,15102,95,0.792,0.147,40
9329,715832058,Existing Customer,40,F,5,Graduate,Unknown,Less than $40K,Blue,36,2,2,3,4512.0,1172,3340.0,0.706,14414,98,0.815,0.26,40
9330,716323683,Existing Customer,31,M,0,Graduate,Married,$80K - $120K,Blue,36,2,3,3,32791.0,1607,31184.0,0.752,13177,106,0.738,0.049,30
9331,819616383,Existing Customer,40,F,3,Uneducated,Divorced,Less than $40K,Blue,35,2,3,3,4772.0,2004,2768.0,0.696,14748,118,0.761,0.42,40
9332,771069033,Existing Customer,56,M,1,Unknown,Unknown,$60K - $80K,Blue,43,2,2,3,10602.0,1083,9519.0,0.656,14084,91,0.75,0.102,50
9335,710300733,Existing Customer,38,M,3,High School,Single,$120K +,Blue,27,2,4,1,34516.0,0,34516.0,0.919,13781,106,0.797,0.0,30
9336,712497783,Existing Customer,56,F,2,Unknown,Married,Less than $40K,Blue,48,1,2,3,9092.0,1363,7729.0,0.83,14779,94,0.843,0.15,50
9338,716296833,Existing Customer,56,M,0,Doctorate,Single,$80K - $120K,Blue,47,2,1,2,7204.0,0,7204.0,0.803,14042,113,0.766,0.0,50
9339,715728108,Existing Customer,27,F,0,Graduate,Unknown,Less than $40K,Blue,36,1,1,2,4548.0,1450,3098.0,0.844,14330,131,0.638,0.319,20
9340,771507258,Existing Customer,38,F,2,Graduate,Single,Less than $40K,Blue,26,1,2,1,3860.0,1175,2685.0,0.734,14474,118,0.71,0.304,30
